BATCH,COMPANY,TYPE,REPORT.NAME,START.TIME,END.TIME,ELAPSED.TIME
BNK/B.BLF.CATEG.SENS,LB0010001,ENQ,BLF.E.CATEG.SENS,21:54:16,21:55:44,00:01:28
BNK/B.BLF.COMPLIANCE.DAILY,LB0010001,ENQ,BLF.E.COMPLIANCE,20:17:26,20:18:24,00:00:58
BNK/B.BLF.COMPLIANCE.DAILY,LB0010001,ENQ,BLF.E.STAFF.GTLIMIT.D,20:18:24,20:18:29,00:00:05
BNK/B.BLF.DAILY.CASH.BYBRANCH,LB0010001,ENQ,BLF.E.DAILY.CASH.BYBRANCH,19:24:02,19:24:13,00:00:11
BNK/B.BLF.SUSPECT.CUST.DETAILED,LB0010001,ENQ,BLF.E.SUSPECT.CUST.DET,19:24:43,19:49:16,00:24:33
BNK/BLF.ACC.SPECIAL.RATE,LB0010001,ENQ,BLF.ACC.SPECIAL.RATE,21:54:36,22:03:27,00:08:51
BNK/BLF.CUSTOMER.EXCEED.LIMIT,LB0010001,ENQ,BLF.CUSTOMER.EXCEED.LIMIT,19:24:54,19:28:02,00:03:08
BNK/BLF.DAILY.PROTOCOL,LB0010001,ENQ,BLF.DAILY.PROTOCOL,22:53:30,22:53:34,00:00:04
BNK/BLF.E.ADC.DAILY.MVTS.RECOUV,LB0010001,ENQ,BLF.E.ADC.D.MVTS.RECOUV,19:24:59,19:29:14,00:04:15
BNK/BLF.E.AUDIT.STAFF.MVTS,LB0010001,ENQ,BLF.E.AUDIT.STAFF.MVTS,19:25:00,19:49:48,00:24:48
BNK/BLF.E.BLF.CORP.MVJRX,LB0010001,ENQ,BLF.E.BLF.CORP.MVJRX,19:25:01,19:46:29,00:21:28
BNK/BLF.E.CRITICAL.STAFF,LB0010001,ENQ,BLF.E.CRITICAL.STAFF,19:25:02,19:25:11,00:00:09
BNK/BLF.E.CUST.ASSETS.BAL.1,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.1,23:32:37,00:03:01,23:29:36
BNK/BLF.E.CUST.ASSETS.BAL.2,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.2,23:32:39,23:42:29,00:09:50
BNK/BLF.E.CUST.ASSETS.BAL.3,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.3,23:32:41,23:42:28,00:09:47
BNK/BLF.E.CUST.ASSETS.BAL.4,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.4,23:32:43,23:42:26,00:09:43
BNK/BLF.E.FT.BILLING.SLIPS,LB0010001,ENQ,BLF.E.FT.BILLING.SLIPS,19:25:03,19:26:10,00:01:07
BNK/BLF.E.INCC.STAFF,LB0010001,ENQ,BLF.E.INCC.STAFF,21:58:29,22:53:02,00:54:33
BNK/BLF.E.MAJ.PROFILS,LB0010001,ENQ,BLF.E.MAJ.PROFILS,19:25:04,19:25:09,00:00:05
BNK/BLF.E.SECRET.ACCTS,LB0010001,ENQ,BLF.E.SECRET.ACCTS,19:25:05,19:25:29,00:00:24
BNK/BLF.E.STAFF.NON.STAFF,LB0010001,ENQ,BLF.E.STAFF.NON.STAFF,19:25:06,19:29:16,00:04:10
BNK/BLF.MM.FUDICIARY.STS,LB0010001,ENQ,BLF.MM.FUDICIARY.STS,19:25:07,19:25:09,00:00:02
BNK/BLF.MM.LIMIT,LB0010001,ENQ,BLF.MM.LIMIT,19:25:09,19:25:12,00:00:03
BNK/BLF.NOFILE.PROT.CRITIC,LB0010001,ENQ,BLF.NOFILE.PROT.CRITIC,19:25:10,20:29:23,01:04:13
