BATCH,COMPANY,TYPE,REPORT.NAME,START.TIME,END.TIME,ELAPSED.TIME
BNK/B.BLF.CATEG.SENS,LB0010001,ENQ,BLF.E.CATEG.SENS,23:03:13,23:03:14,00:00:01
BNK/B.BLF.COMPLIANCE.DAILY,LB0010001,ENQ,BLF.E.COMPLIANCE,21:04:40,21:05:27,00:00:47
BNK/B.BLF.COMPLIANCE.DAILY,LB0010001,ENQ,BLF.E.STAFF.GTLIMIT.D,21:05:27,21:05:32,00:00:05
BNK/B.BLF.DAILY.CASH.BYBRANCH,LB0010001,ENQ,BLF.E.DAILY.CASH.BYBRANCH,20:23:18,20:23:27,00:00:09
BNK/B.BLF.SUSPECT.CUST.MVTS,LB0010001,ENQ,BLF.E.SUSPECT.CUST.MVTS,20:23:59,20:37:05,00:13:06
BNK/BLF.ACC.SPECIAL.RATE,LB0010001,ENQ,BLF.ACC.SPECIAL.RATE,23:04:07,00:03:37,23:00:30
BNK/BLF.CUSTOMER.EXCEED.LIMIT,LB0010001,ENQ,BLF.CUSTOMER.EXCEED.LIMIT,20:24:11,20:26:26,00:02:15
BNK/BLF.DAILY.PROTOCOL,LB0010001,ENQ,BLF.DAILY.PROTOCOL,23:57:40,23:57:42,00:00:02
BNK/BLF.E.ADC.DAILY.MVTS.RECOUV,LB0010001,ENQ,BLF.E.ADC.D.MVTS.RECOUV,20:24:15,20:28:54,00:04:39
BNK/BLF.E.AUDIT.STAFF.MVTS,LB0010001,ENQ,BLF.E.AUDIT.STAFF.MVTS,20:24:16,20:59:10,00:34:54
BNK/BLF.E.BLF.CORP.MVJRX,LB0010001,ENQ,BLF.E.BLF.CORP.MVJRX,20:24:17,20:39:47,00:15:30
BNK/BLF.E.CRITICAL.STAFF,LB0010001,ENQ,BLF.E.CRITICAL.STAFF,20:24:18,20:24:30,00:00:12
BNK/BLF.E.FT.BILLING.SLIPS,LB0010001,ENQ,BLF.E.FT.BILLING.SLIPS,20:24:19,20:25:16,00:00:57
BNK/BLF.E.INCC.STAFF,LB0010001,ENQ,BLF.E.INCC.STAFF,23:04:10,23:51:55,00:47:45
BNK/BLF.E.MAJ.PROFILS,LB0010001,ENQ,BLF.E.MAJ.PROFILS,20:24:20,20:24:22,00:00:02
BNK/BLF.E.SECRET.ACCTS,LB0010001,ENQ,BLF.E.SECRET.ACCTS,20:24:21,20:24:42,00:00:21
BNK/BLF.E.STAFF.NON.STAFF,LB0010001,ENQ,BLF.E.STAFF.NON.STAFF,20:24:22,20:28:54,00:04:32
BNK/BLF.MM.FUDICIARY.STS,LB0010001,ENQ,BLF.MM.FUDICIARY.STS,20:24:26,20:24:28,00:00:02
BNK/BLF.MM.LIMIT,LB0010001,ENQ,BLF.MM.LIMIT,20:24:28,20:24:30,00:00:02
BNK/BLF.NOFILE.PROT.CRITIC,LB0010001,ENQ,BLF.NOFILE.PROT.CRITIC,20:24:29,20:46:45,00:22:16
BNK/BLF.SOLD.BUY.CUR,LB0010001,ENQ,BLF.SOLD.BUY.CUR,20:24:30,20:27:13,00:02:43
BNK/BLF.STAFF.MVTS.MONTHLY,LB0010001,ENQ,BLF.E.STAFF.MVTS.MONTHLY,20:24:31,20:59:39,00:35:08
BNK/E.BLF.CUST.ADD.AMEND,LB0010001,ENQ,BLF.E.CUST.ADD.AMEND,23:04:11,23:04:12,00:00:01
BNK/PRINT.MERCH.DS,LB0010001,ENQ,BLF.E.FT.PRINT.MERCH.DS,20:04:01,20:05:26,00:01:25
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,BLF.E.OT.ISS.CLIENT.LDAY,21:33:32,21:33:42,00:00:10
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,FR.HEDGE.REVAL,21:33:32,21:33:33,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,FX.OPTION.LAST.DEL.REPORT,21:33:32,21:33:34,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,FX.OPTION.OS.REPORT,21:33:31,21:33:33,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,SL.DRAW.IMMINENT.MAT,21:33:31,21:33:32,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:30,21:33:32,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,SL.IMMINENT.MAT.RPT,21:33:23,21:33:24,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,SW.CCY.REVAL,21:33:24,21:33:25,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,SW.NPV.DIFF.CCY.REVAL,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,SW.NPV.REVAL,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.AZ.ACCOUNT.MARGIN,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.DAILY.CASH.OPR.REP,21:33:28,21:33:30,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.DAILY.CASH.REP,21:33:30,21:33:30,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.DEALSLIPS,21:33:24,21:33:46,00:00:22
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.DEALSLIPS.BANK,21:33:32,21:33:52,00:00:20
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.DEALSLIPS.FR,21:33:32,21:33:52,00:00:20
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.DS.AR,21:33:32,21:33:52,00:00:20
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.DS.BANK.AR,21:33:32,21:33:52,00:00:20
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.DS.BANK.FR,21:33:30,21:33:51,00:00:21
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.PIFM.DS,21:33:32,21:33:33,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.PIFM.DS.AR,21:33:23,21:33:25,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.PIFM.DS.BANK,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.PIFM.DS.BANK.AR,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.PIFM.DS.BANK.FR,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.E.LD1.PIFM.DS.FR,21:33:28,21:33:30,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,ENQ,TAM.LCS.BY.RSKPTY,21:33:30,21:33:49,00:00:19
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LC.ACCEPT,21:33:31,21:33:33,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LC.ACPT.DUE,21:33:22,21:33:25,00:00:03
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LC.DISCOUNT,21:33:25,21:33:27,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LC.DRAWINGS,21:33:27,21:33:31,00:00:04
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LCS.BY.BENE,21:33:31,21:33:36,00:00:05
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LCS.BY.EXPIRY,21:33:33,21:33:45,00:00:12
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LCS.BY.RSKPTY,21:33:31,21:33:45,00:00:14
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,LCS.EXPIRY.DUE,21:33:31,21:33:44,00:00:13
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,MM0001,21:33:23,21:33:28,00:00:05
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,MM0002,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,MM0003,21:33:29,21:33:31,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,MM0004,21:33:31,21:33:34,00:00:03
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,MM0005,21:33:32,21:33:33,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,RPG,MM0006,21:33:33,21:33:34,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.ACCRUALS.PRINT,21:33:31,21:33:33,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.BROKER.UNCONF,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.CPARTY.UNCONF,21:33:27,21:33:35,00:00:08
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.DELIVERY.PRINT,21:33:30,21:33:32,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.EXCEPTIONS.PRINT,21:33:30,21:33:32,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.MATURED.DELIVERY,21:33:32,21:33:33,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,EOD.MATURITY.PRINT,21:33:31,21:33:34,00:00:03
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,FRA.CHECK.RATE.SETTING,21:33:31,21:33:33,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,FRA.EOD.HEDGE.DEALS.RPT,21:33:23,21:33:23,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,FRA.EOD.MTH.ACCRUALS.RPT,21:33:23,21:33:23,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,FRA.REALISED.PL.RPT,21:33:23,21:33:24,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010001,RTN,FRA.REPORTS,21:33:24,21:33:28,00:00:04
BNK/REPORT.PRINT.APPLICATION,LB0010002,ENQ,SL.DRAW.IMMINENT.MAT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010002,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010002,ENQ,SL.IMMINENT.MAT.RPT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010003,ENQ,SL.DRAW.IMMINENT.MAT,21:33:24,21:33:24,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010003,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:24,21:33:25,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010003,ENQ,SL.IMMINENT.MAT.RPT,21:33:25,21:33:27,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010004,ENQ,SL.DRAW.IMMINENT.MAT,21:33:27,21:33:27,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010004,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010004,ENQ,SL.IMMINENT.MAT.RPT,21:33:28,21:33:30,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010005,ENQ,SL.DRAW.IMMINENT.MAT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010005,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:25,21:33:25,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010005,ENQ,SL.IMMINENT.MAT.RPT,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010006,ENQ,SL.DRAW.IMMINENT.MAT,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010006,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:27,21:33:29,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010006,ENQ,SL.IMMINENT.MAT.RPT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010007,ENQ,SL.DRAW.IMMINENT.MAT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010007,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010007,ENQ,SL.IMMINENT.MAT.RPT,21:33:22,21:33:23,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010008,ENQ,SL.DRAW.IMMINENT.MAT,21:33:23,21:33:25,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010008,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:25,21:33:25,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010008,ENQ,SL.IMMINENT.MAT.RPT,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010009,ENQ,SL.DRAW.IMMINENT.MAT,21:33:27,21:33:27,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010009,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010009,ENQ,SL.IMMINENT.MAT.RPT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010010,ENQ,SL.DRAW.IMMINENT.MAT,21:33:31,21:33:32,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010010,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:27,21:33:27,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010010,ENQ,SL.IMMINENT.MAT.RPT,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010011,ENQ,SL.DRAW.IMMINENT.MAT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010011,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010011,ENQ,SL.IMMINENT.MAT.RPT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010012,ENQ,SL.DRAW.IMMINENT.MAT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010012,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010012,ENQ,SL.IMMINENT.MAT.RPT,21:33:29,21:33:29,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010013,ENQ,SL.DRAW.IMMINENT.MAT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010013,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010013,ENQ,SL.IMMINENT.MAT.RPT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010014,ENQ,SL.DRAW.IMMINENT.MAT,21:33:30,21:33:31,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010014,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:31,21:33:31,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010014,ENQ,SL.IMMINENT.MAT.RPT,21:33:31,21:33:32,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010015,ENQ,SL.DRAW.IMMINENT.MAT,21:33:21,21:33:23,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010015,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:23,21:33:25,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010015,ENQ,SL.IMMINENT.MAT.RPT,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010016,ENQ,SL.DRAW.IMMINENT.MAT,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010016,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010016,ENQ,SL.IMMINENT.MAT.RPT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010017,ENQ,SL.DRAW.IMMINENT.MAT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010017,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:21,21:33:23,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010017,ENQ,SL.IMMINENT.MAT.RPT,21:33:23,21:33:25,00:00:02
BNK/REPORT.PRINT.APPLICATION,LB0010018,ENQ,SL.DRAW.IMMINENT.MAT,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010018,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010018,ENQ,SL.IMMINENT.MAT.RPT,21:33:27,21:33:27,00:00:00
BNK/REPORT.PRINT.APPLICATION,LB0010019,ENQ,SL.DRAW.IMMINENT.MAT,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010019,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010019,ENQ,SL.IMMINENT.MAT.RPT,21:33:23,21:33:24,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010020,ENQ,SL.DRAW.IMMINENT.MAT,21:33:24,21:33:25,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010020,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010020,ENQ,SL.IMMINENT.MAT.RPT,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010021,ENQ,SL.DRAW.IMMINENT.MAT,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010021,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010021,ENQ,SL.IMMINENT.MAT.RPT,21:33:29,21:33:30,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010022,ENQ,SL.DRAW.IMMINENT.MAT,21:33:23,21:33:24,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010022,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:24,21:33:25,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010022,ENQ,SL.IMMINENT.MAT.RPT,21:33:25,21:33:26,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010023,ENQ,SL.DRAW.IMMINENT.MAT,21:33:26,21:33:27,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010023,ENQ,SL.DRAW.MAT.PARTICIPANT,21:33:27,21:33:28,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010023,ENQ,SL.IMMINENT.MAT.RPT,21:33:28,21:33:29,00:00:01
BNK/REPORT.PRINT.APPLICATION,LB0010024,ENQ,SL.DRAW.IMMINENT.MAT,21:33:29,21:33:30,00:00:01
