BATCH,COMPANY,TYPE,REPORT.NAME,START.TIME,END.TIME,ELAPSED.TIME
BNK/B.BLF.CATEG.SENS,LB0010001,ENQ,BLF.E.CATEG.SENS,02:20:12,02:20:13,00:00:01
BNK/B.BLF.COMPLIANCE.DAILY,LB0010001,ENQ,BLF.E.COMPLIANCE,21:48:45,21:49:36,00:00:51
BNK/B.BLF.COMPLIANCE.DAILY,LB0010001,ENQ,BLF.E.STAFF.GTLIMIT.D,21:49:36,21:49:44,00:00:08
BNK/B.BLF.DAILY.CASH.BYBRANCH,LB0010001,ENQ,BLF.E.DAILY.CASH.BYBRANCH,21:19:50,21:20:31,00:00:41
BNK/B.BLF.SUSPECT.CUST.DETAILED,LB0010001,ENQ,BLF.E.SUSPECT.CUST.DET,21:20:31,21:34:22,00:13:51
BNK/B.BLF.SUSPECT.CUST.MVTS,LB0010001,ENQ,BLF.E.SUSPECT.CUST.MVTS,21:20:32,21:33:45,00:13:13
BNK/BLF.ACC.SPECIAL.RATE,LB0010001,ENQ,BLF.ACC.SPECIAL.RATE,02:21:06,02:29:33,00:08:27
BNK/BLF.CUSTOMER.EXCEED.LIMIT,LB0010001,ENQ,BLF.CUSTOMER.EXCEED.LIMIT,21:20:43,21:22:57,00:02:14
BNK/BLF.DAILY.PROTOCOL,LB0010001,ENQ,BLF.DAILY.PROTOCOL,03:22:46,03:22:48,00:00:02
BNK/BLF.E.ADC.DAILY.MVTS.RECOUV,LB0010001,ENQ,BLF.E.ADC.D.MVTS.RECOUV,21:20:48,21:25:32,00:04:44
BNK/BLF.E.AUDIT.STAFF.MVTS,LB0010001,ENQ,BLF.E.AUDIT.STAFF.MVTS,21:20:49,21:42:04,00:21:15
BNK/BLF.E.BLF.CORP.MVJRX,LB0010001,ENQ,BLF.E.BLF.CORP.MVJRX,21:20:50,21:40:22,00:19:32
BNK/BLF.E.CRITICAL.STAFF,LB0010001,ENQ,BLF.E.CRITICAL.STAFF,21:20:51,21:21:04,00:00:13
BNK/BLF.E.CUST.ASSETS.BAL.1,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.1,03:53:42,04:23:48,00:30:06
BNK/BLF.E.CUST.ASSETS.BAL.2,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.2,03:53:45,04:03:44,00:09:59
BNK/BLF.E.CUST.ASSETS.BAL.3,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.3,03:53:47,04:03:41,00:09:54
BNK/BLF.E.CUST.ASSETS.BAL.4,LB0010001,ENQ,BLF.E.CUST.ASSETS.BAL.4,03:53:49,04:03:44,00:09:55
BNK/BLF.E.FT.BILLING.SLIPS,LB0010001,ENQ,BLF.E.FT.BILLING.SLIPS,21:20:52,21:21:31,00:00:39
BNK/BLF.E.INCC.STAFF,LB0010001,ENQ,BLF.E.INCC.STAFF,02:21:09,03:10:20,00:49:11
BNK/BLF.E.MAJ.PROFILS,LB0010001,ENQ,BLF.E.MAJ.PROFILS,21:20:53,21:20:58,00:00:05
BNK/BLF.E.SECRET.ACCTS,LB0010001,ENQ,BLF.E.SECRET.ACCTS,21:20:54,21:21:20,00:00:26
